artist.id	artist.name	song.id	title
ARD7TVE1187B99BFB1	Casual	SOMZWCG12A8C13C480	I Didn't Mean To
ARMJAGH1187FB546F3	The Box Tops	SOCIWDW12A8C13D406	Soul Deep
ARKRRTF1187B9984DA	Sonora Santanera	SOXVLOJ12AB0189215	Amor De Cabaret
AR7G5I41187FB4CE6C	Adam Ant	SONHOTT12A8C13493C	Something Girls
ARXR32B1187FB57099	Gob	SOFSOCN12A8C143F5D	Face the Ashes
ARKFYS91187B98E58F	Jeff And Sheri Easter	SOYMRWW12A6D4FAB14	The Moon And I (Ordinary Day Album Version)
ARD0S291187B9B7BF5	Rated R	SOMJBYD12A6D4F8557	Keepin It Real (Skit)
AR10USD1187B99F3F1	Tweeterfriendly Music	SOHKNRJ12A6701D1F8	Drop of Rain
AR8ZCNI1187B9A069B	Planet P Project	SOIAZJW12AB01853F1	Pink World
ARNTLGG11E2835DDB9	Clp	SOUDSGM12AC9618304	Insatiable (Instrumental Version)
ARGSJW91187B9B1D6B	JennyAnyKind	SOQHXMF12AB0182363	Young Boy Blues
ARC43071187B990240	Wayne Watson	SOKEJEJ12A8C13E0D0	The Urgency (LP Version)
ARL7K851187B99ACD2	Andy Andy	SOMUYGI12AB0188633	La Culpa
ARHHO3O1187B989413	Bob Azzam	SORAMLE12AB017C8B0	Auguri Cha Cha
ARIK43K1187B9AE54C	Lionel Richie	SOBONFF12A6D4F84D8	Tonight Will Be Alright
ARD842G1187B997376	Blue Rodeo	SOHUOAP12A8AE488E9	Floating
ARIG6O41187B988BDD	Richard Souther	SOUQQEA12A8C134B1B	High Tide
AR1ZHYZ1187FB3C717	Faiz Ali Faiz	SOILPQQ12AB017E82A	Sohna Nee Sohna Data
ARYKCQI1187FB3B18F	Tesla	SOXLBJT12A8C140925	Caught In A Dream
ARNPAGP1241B9C7FD4	lextrical	SOZVMJI12AB01808AF	Synthetic Dream
ARQGYP71187FB44566	Jimmy Wakely	SOWTBJW12AC468AC6E	Broken-Down Merry-Go-Round
ARI3BMM1187FB4255E	Alice Stuart	SOBEBDG12A58A76D60	Kassie Jones
AR5KOSW1187FB35FF4	Elena	SOZCTXZ12AB0182364	Setanta matins
ARMAC4T1187FB3FA4C	The Dillinger Escape Plan	SOBBUGU12A8C13E95D	Setting Fire to Sleeping Giants
AR47JEX1187B995D81	SUE THOMPSON	SOBLGCN12AB0183212	James (Hold The Ladder Steady)
ARGIWFO1187B9B55B7	Five Bolt Main	SOPSWQW12A6D4F8781	Made Like This (Live)
ARNTLGG11E2835DDB9	Clp	SOZQDIU12A58A7BCF6	Superconfidential
ARDNS031187B9924F0	Tim Wilson	SONYPOM12A8C13B2D7	I Think My Wife Is Running Around On Me (Taco Hell)
AROUOZZ1187B9ABE51	Willie Bobo	SOBZBAZ12A6D4F8742	Spanish Grease
ARH4Z031187B9A71F2	Faye Adams	SOVYKGO12AB0187199	Crazy Mixed Up World
ARB29H41187B98F0EF	Terry Callier	SOGNCJP12A58A80271	Do You Finally Need A Friend
AR1Y2PT1187FB5B9CE	John Wesley	SOLLHMX12AB01846DC	The Emperor Falls
ARAJPHH1187FB5566A	The Shangri-Las	SOYTPEP12AB0180E7B	Twist and Shout
AR0RCMP1187FB3F427	Billie Jo Spears	SOGXHEG12AB018653E	It Makes No Difference Now
AREBBGV1187FB523D2	Mike Jones (Featuring CJ_ Mello & Lil' Bran)	SOOLYAZ12A6701F4A6	Laws Patrolling (Album Version)
ARGUVEV1187B98BA17	Sierra Maestra	SOGOSOV12AF72A285E	A?DA3nde va Chichi?
ARPQ4Z01187FB3A736	Butthole Surfers	SOJXVAH12A8C139700	Barking Dogs (From "Piouhgd")
ARNQAVF11F4C844C04	Despina Vandi	SOVXMTN12A8C135A18	OUTE ENA EFHARISTO
ARXUT4W1187FB48BEB	Javier Navarrete	SORSECL12AB0182267	Midnight Swim
ARDD1RC1187B9B52B4	Jacob Young	SOOGFBZ12AC3DF7FF2	In A Subtle Way
ARLGWFM1187FB4AC9F	Scarlet's Remains	SOMSBGZ12AB018C4CB	Spin
ARWYVP51187B98C516	The Suicide Machines	SONYRZV12AB018AF70	Burning In The Aftermath
ARFCUN31187B9AD578	The Rolling Stones	SONQBUB12A6D4F8ED0	Angie (1993 Digital Remaster)
AR6YDKV1187B989230	Roberto Torres	SOHGKJW12AC468A8BD	Sabor Guajiro
ARV1JVD1187B9AD195	Loudon Wainwright III	SOINBCU12A6D4F94C0	Human Cannonball
AR7TTS41187B9B42D3	R.L. Burnside	SOTWVQT12A58A79650	Glory Be
ART3O5Z1187B9AB043	Stevie Ray Vaughan	SOTSEJY12AB0180F56	Crossfire
AR5U94U1187FB5CDCF	John Hammond	SOTSETT12AB01863B8	I Can't Be Satisfied
ARRJNTE1187FB44E12	Casiotone For The Painfully Alone	SOTUNMH12A6D4FA3E6	Nashville Parthenon